Statement,Ruling,Economics (T/F)
Donald Trump says he learned Obama tapped his phones from the New York Times,False,F
Gutierrez says 'hundreds of Republican amendments' were a part of Obamacare,Half-True,F
Mick Mulvaney's misleading claim that House GOP health care plan keeps Medicaid expansion,Mostly False,F
Donald Trump trumpets 40 percent decrease in illegal border crossings. Is he right?,Mostly True,F
"Are Mexican drug cartels working with 100,000 street gang members in Chicago?",Half-True,F
Donald Trump: One-third of counties have only one insurer on Affordable Care Act exchanges,True,F
Tom Price undercounts Obamacare impact on getting more Americans insured,False,F
Fact-checking White House criticism of CBO health care analysis,Half-True,F
HHS chief Tom Price mostly correct that ER use is up since Obamacare,Mostly True,F
EPA head Scott Pruitt says carbon dioxide is not 'primary contributor' to global warming,False,F
Sanders: GOP health care plan gives wealthiest a $275 billion tax break,Mostly True,F
Are Americans gaming the system to get cheaper Obamacare coverage?,Mostly False,F
Nancy Pelosi says Donald Trump's child-care proposal mainly benefits high earners,True,F
Donald Trump wrongly blames Barack Obama for former Guantanamo detainees returning to terrorism,Mostly False,F
Why the White House defense of Trump wiretap accusation is misleading,False,F
"Rand Paul said repealing 3 regulations saves millions of dollars, thousands of jobs",Half-True,F
"Claire McCaskill says she never met with Russian ambassador, past tweets say otherwise",False,F
Trump misleads in claim about terrorism convictions since 9/11,Mostly False,F
Trump exaggerates economic burden of export tariffs in speech to Congress,Half-True,F
Taxes on wealthy pay for Obamacare? DNC's Perez overshoots,Half-True,F
Trump wrongly claims historic defense increase,Mostly False,F
 Fact-checking Donald Trumps claim about soaring Obamacare premiums,Half-True,F
No evidence that protesters are paid to disrupt Republican town hall meetings,False,F
Mostly False: New DNC chair Tom Perez says Donald Trump wants to eliminate overtime pay,Mostly False,F
Why Donald Trump's tweet about national debt decrease in his first month is highly misleading,Mostly False,F
"In Texas, do you have to drive 120 miles for a voter ID?",Half-True,F
Donald Trump in Florida laments 'what's happening last night in Sweden.' But nothing happened,False,F
Sen. Bob Menendez says immigration raids 'not business as usual',Half-True,F
