Statement,Ruling,Economics (T/F)
"""Austan Goolsbee says manufacturing jobs growing fastest in almost 15 years""",Mostly True,T
"""Mitt Romney says U.S. is ""only inches away from ceasing to be a free market economy.""",Pants on Fire!,T
"""Nancy Pelosi says more jobs created in Obama's first year than eight years of George W. Bush""",False,T
"""Newt Gingrich defends calling Barack Obama ""food stamp president""""",Half-True,T
"""Newt Gingrich inaccurate in budget, debt claims in video announcement""",False,T
"""Barack Obama says the United States has doubled exports during his presidency""",False,T
"""John Boehner says Bush tax cuts created 8 million jobs over 10 years""",False,T
"""Arianna Huffington says unemployment gains are actually from shrinking workforce, not job creation""",Mostly True,T
"""Rep. Joe Walsh said that every time we've cut taxes, revenues have gone up, the economy has grown""",False,T
"""Reince Priebus says Americans pay more in taxes than on groceries, clothing, shelter combined""",Half-True,T
"""Obama says incomes increased more than $250,000 for top 1 percent of Americans, dropped for bottom 90 percent""",Half-True,T
"""Steve Moore says ratio of people working in government, manufacturing is an almost exact reversal"" of pattern in 1960""",Half-True,T
"""RNC Chair Reince Priebus says U.S. has lost 26 million jobs under Barack Obama""",Pants on Fire!,T
"""George Will says most recent recession killed more jobs than previous four recessions combined""",True,T
"""Paul Ryan says CBO model of economy self-destructs due to rising deficits in 2037""",Half-True,T
"""Barack Obama says U.S. oil production last year was highest since 2003""",Mostly True,T
"""Mike Huckabee says single moms 'very poor, under-educated, can't get a job'""",Mostly False,T
"""John McCain errs in saying iPads, iPhones are made in the USA""",False,T
"""Bill O'Reilly says unemployment is lower in 'right-to-work' states""",Mostly True,T
"""Mitch Daniels says interest on debt will soon exceed security spending""",False,T
"""Mitt Romney tells CPAC that Canada created more jobs in January than the U.S. did""",True,T
"""Mitt Romney tells CPAC that more are out of work in U.S. than employed in Canada""",False,T
"""Rand Paul says Israel's per capita income ""is greater than probably three-fourths of the rest of the world.""""",True,T
"""'Wall Street Journal's' Steve Moore claims low income people saw the biggest gains during the 1980s""",False,T
"""Rachel Maddow tangles with 'Wall Street Journal's' Steve Moore over Reagan tax cuts and income inequality""",Mostly True,T
"""Michele Bachmann, in State of the Union rebuttal, says government employment grew as jobs overall declined""",Half-True,T
"""Rep. Michele Bachmann says White House promised stimulus would keep unemployment below 8 percent """,Mostly False,T
"""Paul Ryan, in State of the Union response, says U.S. debt will soon eclipse GDP""",True,T
"""Barack Obama in State of the Union says U.S. corporate tax rate is among world's highest""",True,T
"""Barack Obama in State of the Union says corporate profits are up over the past two years""",True,T
"""Mike Pence says Dodd-Frank financial regulation bill ""will kill jobs""""",Mostly False,T
"""The health care law a ""job killer""? The evidence falls short""",False,T
"""Bumper sticker says CEOs rake in the equivalent of a worker's yearly pay every two days""",Half-True,T
"""Matthew Dowd says economy has ""only worsened"" under Obama""",Half-True,T
"""Bernie Sanders, in viral speech, says top 1 percent earn more than 23 percent of U.S. income""",True,T
