,Statement,Ruling,Economics (T/F)
0,Why Donald Trumps tweet national debt decrease first month highly misleading ,Mostly False,F
1,In Texas drive NUM miles voter ID ,Half-True,F
2,Donald Trump Florida laments whats happening last night Sweden But nothing happened ,False,F
3,Sen Bob Menendez says immigration raids business usual ,Half-True,F
4,Trump hints stock market record high linked optimism presidency ,Mostly True,T
5,Is news media less trusted Congress ,Mostly False,F
6,Trumps flipflop leaks release secret information ,Full Flop,F
7,Benjamin Netanyahu largely correct Iranian missiles Hebrewlanguage threats ,Mostly True,F
8,West Virginia uninsured rate declined though fast Bernie Sanders said ,Mostly True,F
9,Did court find indication terrorism seven nations Trump order ,Mostly False,F
10,Arkansas senator says NUM million green cards issued employmentbased ,Mostly True,T
11,Border fence Israel cut illegal immigration NUM percent GOP senator says ,Mostly True,F
12,Donald Trump says refugee admissions surged NUM countries suspension executive order ,Mostly True,F
13,White House senior adviser repeats baseless claim busing illegal voters New Hampshire ,Pants on Fire!,F
14,Donald Trump wrongly says CNN cut Bernie Sanders calling network fake news ,False,F
15,Sanders said Obamas SCOTUS nominees required NUM votes complicated ,Half-True,F
16,Trump wrong  Sen Blumenthals CNN interview Vietnam ,False,F
17,Senate Republicans use Rule NUM Ted Cruz attacked Mitch McConnell ,Mostly True,F
18,Donald Trump wrong murder rate highest NUM years ,False,F
19,Donald Trump wrong say Kuwait followed lead visa ban ,Mostly False,F
20,No proof ISIS leaders using Donald Trumps travel ban recruitment ,Mostly False,F
21,Donald Trump wrong media reporting terrorism ,Pants on Fire!,F
22,President Trump says NUM people affected travel ban Its least NUM ,False,F
23,Factchecking Kellyanne Conway Bowling Green massacre ,False,F
24,Kellyanne Conway wrongly says longest US gone without Treasury secretary ,False,F
25,Most Syrian refugees women children Keith Ellison said ,True,F
26,Trump claims Obama made deal take thousands illegal immigrants Australia ,Half-True,F
27,Does Neil Gorsuch side felons gun safety Pelosi says ,Mostly False,F
28,Nancy Pelosi overstates Wall Street refusal support Democrats ,Mostly False,F
29,McCain says Taliban murdered people Chelsea Manning WikiLeaks ,Mostly False,F
30,Joni Ernst target describing NUMthhour Obama rule affecting Planned Parenthood ,Mostly True,F
31,Spicers misleading claim Trumps National Security Council identical Bushs Obamas ,Mostly False,F
32,Kellyanne Conway incorrect worker remittances Mexico No NUM income flow ,False,F
33,Why comparing Trumps Obamas immigration restrictions flawed  ,Mostly False,F
34,No terrorist attacks post NUM people countries Trumps travel ban ,Half-True,F
35,No evidence Trump claim impossible Syrian Christians enter US ,False,F
36,Chuck Schumer wrongly tweets Tillerson wont divest Exxon ,Pants on Fire!,F
37,Donald Trumps inaugural speech polled well well predecessors ,Mostly True,F
38,Donald Trump unanimously endorsed ICE border patrol ,Mostly False,F
39,Claire McCaskill overstates tax impacts repealing Obamacare ,Mostly False,F
40,Heres need know Californias climate change deal ,Mostly True,F
41,Pants Fire claim George Soros money went Womens March protesters ,Pants on Fire!,F
42,Sean Spicer wrongly uses Pew study bolster claim noncitizens vote large numbers ,False,F
43,Sean Spicers claim dramatic expansion federal workforce exaggerated ,Mostly False,F
44,Donald Trumps stat homicide increase major cities solid ,Mostly True,F
45,White House website says DC homicides climbed NUM percent recent data shows fell ,Mostly False,F
46,Trump wrongly blames press feud intel community ,False,F
47,Donald Trump biggest inaugural crowd ever Metrics dont show ,Pants on Fire!,F
48,Trump wrongly says US made others rich wealth dissipated  ,Mostly False,T
49,Viral image Democratic senators big pharma misleading ,Mostly False,F
50,Education nominee Betsy DeVos says Wyoming school might need guns stop grizzly bears ,False,F
51,John Lewis wrong whether skipped inauguration Donald Trumps ,Pants on Fire!,F
52,Rep Luke Messer correct NUM act allows construction border wall ,True,F
53,Trumps exaggerated claim John Lewis district falling apart crime infested  ,Mostly False,T
54,Medicaid expansion drove health insurance coverage health law Rand Paul says ,Half-True,F
55,Trump lawyer Foreign dignitaries staying Trump hotel doesnt violate Constitution ,Half-True,F
56,Keith Ellison wrong CBO cant analyze cost Obamacare repeal ,False,F
57,Rex Tillerson misleads Russian sanctions opposition ,Mostly False,F
58,Viral post exaggerates GOP senators bill embassy move ,Mostly False,F
59,Trump wrong Americans dont care tax returns ,False,F
60,Trump says Russians unable hack Republican National Committee ,Mostly True,F
61,Jeff Sessions objected immigrants armed forces Senator Durbin says ,Mostly True,F
62,Mitch McConnell says NUM NUM favor changing Obamacare significantly replacing altogether ,Mostly True,F
63,Schumer Trump HHS pick Tom Price odds Medicare ,Mostly True,F
64,Mike Pence says Obamacare American families seen increase premiums NUM ,Half-True,F
65,Donald Trumps dubious claim foreign governments absolutely effect election outcome ,Mostly False,F
66,Cory Booker McConnell wanted full ethics review Obama nominees hearings ,Mostly True,F
67,Mostly True Trump tweet GM Chevy Cruze manufacturing ,Mostly True,T
68,Its True WikiLeaks dumped Podesta emails hour Trump video surfaced ,True,F
69,Pants Fire Trump tweet White House Russian hacking probe ,Pants on Fire!,F
70,Did Rex Tillerson oil CEO secretary state pick sue keep fracking backyard ,Mostly True,F
71,Donald Trumps Electoral College victory massive landslide ,False,F
72,Reince Priebus falsely claims conclusive report whether Russia tried influence election ,False,F
73,Factchecking Donald Trumps tweet Air Force One Boeing ,Half-True,F
74,Mike Pence says Donald Trump counties Republican since Ronald Reagan ,Mostly True,F
75,New York City mayor says president cant defund sanctuary cities across board ,Mostly True,F
76,Donald Trumps Pants Fire claim millions illegal votes cost popular vote victory ,Pants on Fire!,F
77,Santa Fe mayor defends sanctuary cities says studies dont show increase crime ,Half-True,F
78,Reince Priebus says Trump Congress similar immigration policies ,Mostly True,F
79,Rand Paul says John Bolton still thinks Iraq War right decision ,True,F
80,No someone wasnt paid NUM protest Donald Trump fake news ,Pants on Fire!,F
81,Giuliani President Trump exempt conflictofinterest laws ,True,F
82,Trump misleads number criminal immigrants illegally country ,Half-True,F
83,Donald Trump says New York Times apologized bad coverage ,False,F
84,Donald Trump wrongly tweets never said countries nuclear weapons ,False,F
85,No Donald Trump beating Hillary Clinton popular vote ,Pants on Fire!,F
86,No evidence support rumors We hate Muslims chant Trump victory rally ,Pants on Fire!,F
87,In closing argument Donald Trump wrongly says outdraws Beyonce Jay Z ,False,F
88,Obama says Republicans tried purge black Democrats voter rolls North Carolina ,Half-True,F
89,Donald Trump correct NUM NUM workingage Americans employed ,Mostly True,T
90,Tim Kaine right Spanish first European language spoken United States ,True,F
91,Would NUM single parents see taxes rise Donald Trumps tax plan ,True,F
92,Donald Trumps Pants Fire claim Obama screamed protester ,Pants on Fire!,F
93,Hillary Clinton Donald Trump says organized crime runs wild reservations ,Half-True,F
94,Trump wrongly claims tremendous support women ,False,F
95,Evidence ridiculously thin sensational claim huge underground Clinton sex network ,Pants on Fire!,F
96,Trump says media doesnt show crowds rallies Hes wrong ,False,F
